x,y,t,intensity
2583,801,0,18
2584,801,0,18
2585,801,0,18
2586,801,0,17
2587,801,0,17
2588,801,0,16
2589,801,0,17
2590,801,0,17
2591,801,0,15
2592,801,0,14
2593,801,0,13
2594,801,0,13
2595,801,0,13
2596,801,0,13
2597,801,0,14
2598,801,0,14
2599,801,0,14
2600,801,0,14
2601,801,0,14
2602,801,0,13
2603,801,0,13
2604,801,0,13
2605,801,0,13
2606,801,0,14
2607,801,0,15
2608,801,0,16
2609,801,0,16
2610,801,0,15
2611,801,0,14
2612,801,0,13
2613,801,0,13
2614,801,0,13
2615,801,0,13
2616,801,0,13
2617,801,0,13
2618,801,0,14
2619,801,0,15
2620,801,0,16
2621,801,0,16
2622,801,0,16
2623,801,0,16
2624,801,0,16
2625,801,0,16
2626,801,0,16
2627,801,0,16
2628,801,0,16
2629,801,0,15
2630,801,0,14
2631,801,0,14
2632,801,0,14
2633,801,0,13
2634,801,0,13
2635,801,0,13
2636,801,0,13
2637,801,0,13
2638,801,0,12
2639,801,0,12
2640,801,0,12
2641,801,0,12
2642,801,0,12
2643,801,0,12
2644,801,0,13
2645,801,0,13
2646,801,0,13
2647,801,0,13
2648,801,0,12
2649,801,0,13
2650,801,0,14
2651,801,0,14
2652,801,0,15
2653,801,0,16
2654,801,0,16
2655,801,0,15
2656,801,0,15
2657,801,0,14
2658,801,0,13
2659,801,0,13
2660,801,0,14
2661,801,0,14
2662,801,0,13
2663,801,0,13
2664,801,0,14
2665,801,0,14
2666,801,0,15
2667,801,0,17
2668,801,0,17
2669,801,0,17
2670,801,0,17
2671,801,0,17
2672,801,0,18
2673,801,0,18
2674,801,0,19
2675,801,0,19
2676,801,0,21
2677,801,0,22
2678,801,0,22
2679,801,0,21
2680,801,0,21
2681,801,0,19
2682,801,0,19
2683,801,0,20
2684,801,0,23
2685,801,0,24
2686,801,0,25
2687,801,0,25
2688,801,0,22
2689,801,0,22
2690,801,0,22
2691,801,0,24
2692,801,0,23
2693,801,0,23
2694,801,0,22
2695,801,0,21
2696,801,0,20
2697,801,0,20
2698,801,0,20
2699,801,0,20
2700,801,0,22
2701,801,0,22
2702,801,0,22
2703,801,0,22
2704,801,0,21
2705,801,0,20
2706,801,0,20
2707,801,0,20
2708,801,0,20
2709,801,0,20
2710,801,0,20
2711,801,0,22
2712,801,0,22
2713,801,0,23
2714,801,0,24
2715,801,0,24
2716,801,0,24
2717,801,0,23
2718,801,0,23
2719,801,0,23
2720,801,0,23
2721,801,0,26
2722,801,0,28
2723,801,0,29
2724,801,0,29
2725,801,0,29
2726,801,0,28
2727,801,0,27
2728,801,0,25
2729,801,0,26
2730,801,0,26
2731,801,0,27
2732,801,0,26
2733,801,0,27
2734,801,0,27
2735,801,0,27
2736,801,0,27
2737,801,0,27
2738,801,0,28
2739,801,0,28
2740,801,0,29
2741,801,0,28
2742,801,0,29
2743,801,0,29
2744,801,0,29
2745,801,0,29
2746,801,0,29
2747,801,0,29
2748,801,0,29
2749,801,0,29
2450,802,0,181
2451,802,0,182
2452,802,0,185
2453,802,0,189
2454,802,0,191
2455,802,0,193
2456,802,0,195
2457,802,0,196
2458,802,0,196
2459,802,0,196
2460,802,0,196
2461,802,0,195
2462,802,0,195
2463,802,0,194
2464,802,0,193
2465,802,0,194
2466,802,0,194
2467,802,0,193
2468,802,0,192
2469,802,0,191
2470,802,0,192
2471,802,0,192
2472,802,0,192
2473,802,0,191
2474,802,0,190
2475,802,0,189
2476,802,0,187
2477,802,0,184
2478,802,0,182
2479,802,0,181
2480,802,0,180
2481,802,0,180
2482,802,0,179
2483,802,0,177
2484,802,0,176
2485,802,0,174
2486,802,0,172
2487,802,0,170
2488,802,0,169
2489,802,0,169
2490,802,0,167
2491,802,0,166
2492,802,0,164
2493,802,0,163
2494,802,0,163
2495,802,0,163
2496,802,0,163
2497,802,0,163
2498,802,0,163
2499,802,0,162
2500,802,0,162
2501,802,0,162
2502,802,0,162
2503,802,0,161
2504,802,0,162
2505,802,0,162
2506,802,0,162
2507,802,0,161
2508,802,0,160
2509,802,0,159
2510,802,0,160
2511,802,0,158
2512,802,0,153
2513,802,0,150
2514,802,0,144
2515,802,0,139
2516,802,0,135
2517,802,0,133
2518,802,0,126
2519,802,0,116
2520,802,0,109
2521,802,0,116
2522,802,0,124
